Area Code (M49),Area,Year,Unit,Value,Flag,Flag Description,Note
032,Argentina,1961,t,16000,A,Official figure,
032,Argentina,1962,t,14000,A,Official figure,
032,Argentina,1963,t,15000,A,Official figure,
032,Argentina,1964,t,17000,A,Official figure,
032,Argentina,1965,t,20000,A,Official figure,
032,Argentina,1966,t,16800,A,Official figure,
032,Argentina,1967,t,24400,A,Official figure,
032,Argentina,1968,t,19900,A,Official figure,
032,Argentina,1969,t,24900,A,Official figure,
032,Argentina,1970,t,26700,A,Official figure,
032,Argentina,1971,t,27500,A,Official figure,
032,Argentina,1972,t,25000,A,Official figure,
032,Argentina,1973,t,26000,A,Official figure,
032,Argentina,1974,t,28800,A,Official figure,
032,Argentina,1975,t,27800,A,Official figure,
032,Argentina,1976,t,31900,A,Official figure,
032,Argentina,1977,t,31700,A,Official figure,
032,Argentina,1978,t,30800,A,Official figure,
032,Argentina,1979,t,20200,A,Official figure,
032,Argentina,1980,t,16700,A,Official figure,
032,Argentina,1981,t,15600,A,Official figure,
032,Argentina,1982,t,10800,A,Official figure,
032,Argentina,1983,t,7900,A,Official figure,
032,Argentina,1984,t,7500,A,Official figure,
032,Argentina,1985,t,9000,A,Official figure,
032,Argentina,1986,t,10300,A,Official figure,
032,Argentina,1987,t,6500,E,Estimated value,
032,Argentina,1988,t,8000,E,Estimated value,
032,Argentina,1989,t,4500,E,Estimated value,
032,Argentina,1990,t,10000,E,Estimated value,
032,Argentina,1991,t,15000,E,Estimated value,
032,Argentina,1992,t,35000,E,Estimated value,
032,Argentina,1993,t,17000,E,Estimated value,
032,Argentina,1994,t,17000,E,Estimated value,
032,Argentina,1995,t,10000,E,Estimated value,
032,Argentina,1996,t,10000,E,Estimated value,
032,Argentina,1997,t,10000,E,Estimated value,
032,Argentina,1998,t,10000,E,Estimated value,
032,Argentina,1999,t,13000,E,Estimated value,
032,Argentina,2000,t,13000,E,Estimated value,
032,Argentina,2001,t,13000,E,Estimated value,
032,Argentina,2002,t,15000,E,Estimated value,
032,Argentina,2003,t,15000,E,Estimated value,
032,Argentina,2004,t,15000,E,Estimated value,
032,Argentina,2005,t,15000,E,Estimated value,
032,Argentina,2006,t,15200,E,Estimated value,
032,Argentina,2007,t,15500,E,Estimated value,
032,Argentina,2008,t,15500,E,Estimated value,
032,Argentina,2009,t,16000,E,Estimated value,
032,Argentina,2010,t,18978,A,Official figure,
032,Argentina,2011,t,16459,A,Official figure,
032,Argentina,2012,t,14750,A,Official figure,
032,Argentina,2013,t,19500,E,Estimated value,
032,Argentina,2014,t,16269.58,I,Value imputed by a receiving agency,
032,Argentina,2015,t,16112.03,I,Value imputed by a receiving agency,
032,Argentina,2016,t,16736.97,I,Value imputed by a receiving agency,
032,Argentina,2017,t,16549.56,I,Value imputed by a receiving agency,
032,Argentina,2018,t,16817,I,Value imputed by a receiving agency,
032,Argentina,2019,t,16850.63,I,Value imputed by a receiving agency,
032,Argentina,2020,t,16970.83,I,Value imputed by a receiving agency,
032,Argentina,2021,t,17098.34,I,Value imputed by a receiving agency,
032,Argentina,2022,t,17264.27,I,Value imputed by a receiving agency,
032,Argentina,2023,t,17371.54,I,Value imputed by a receiving agency,
032,Argentina,2024,t,17244.71,E,Estimated value,
051,Armenia,2003,t,4339,A,Official figure,
051,Armenia,2004,t,8337,A,Official figure,
051,Armenia,2005,t,7333,A,Official figure,
051,Armenia,2006,t,3161,A,Official figure,
051,Armenia,2007,t,9530,A,Official figure,
051,Armenia,2008,t,10697,A,Official figure,
051,Armenia,2009,t,8425.3,A,Official figure,
051,Armenia,2010,t,4219,A,Official figure,
051,Armenia,2011,t,9507,A,Official figure,
051,Armenia,2012,t,14375,A,Official figure,
051,Armenia,2013,t,16847,A,Official figure,
051,Armenia,2014,t,18268,A,Official figure,
051,Armenia,2015,t,15359.6,A,Official figure,
051,Armenia,2016,t,21117,A,Official figure,
051,Armenia,2017,t,12076,A,Official figure,
051,Armenia,2018,t,9366,A,Official figure,
051,Armenia,2019,t,5775,A,Official figure,
051,Armenia,2020,t,7143.7,A,Official figure,
051,Armenia,2021,t,4567.8,A,Official figure,
051,Armenia,2022,t,7114.1,A,Official figure,
051,Armenia,2023,t,8537.7,A,Official figure,
051,Armenia,2024,t,6701.5,A,Official figure,
040,Austria,1991,t,24469,A,Official figure,
040,Austria,1992,t,23108,A,Official figure,
040,Austria,1993,t,30991,A,Official figure,
040,Austria,1994,t,37775,A,Official figure,
040,Austria,1995,t,13824,A,Official figure,
040,Austria,1996,t,6157,A,Official figure,
040,Austria,1997,t,4461,A,Official figure,
040,Austria,1998,t,4705,A,Official figure,
040,Austria,1999,t,6342,A,Official figure,
040,Austria,2000,t,5560.14,A,Official figure,
040,Austria,2001,t,12804.57,A,Official figure,
040,Austria,2002,t,19139.08,A,Official figure,
040,Austria,2003,t,26159.9,A,Official figure,
040,Austria,2004,t,30642.75,A,Official figure,
040,Austria,2005,t,28774.98,A,Official figure,
040,Austria,2006,t,28126.7,A,Official figure,
040,Austria,2007,t,36561.06,A,Official figure,
040,Austria,2008,t,45442.26,A,Official figure,
040,Austria,2009,t,50779.16,A,Official figure,
040,Austria,2010,t,88124.83,A,Official figure,
040,Austria,2011,t,42526.8,A,Official figure,
040,Austria,2012,t,42659.42,A,Official figure,
040,Austria,2013,t,49403.37,A,Official figure,
040,Austria,2014,t,51430.52,A,Official figure,
040,Austria,2015,t,54563,A,Official figure,
040,Austria,2016,t,47311,A,Official figure,
040,Austria,2017,t,43535,A,Official figure,
040,Austria,2018,t,23450,A,Official figure,
040,Austria,2019,t,22550,A,Official figure,
040,Austria,2020,t,29800,A,Official figure,
040,Austria,2021,t,27060,A,Official figure,
040,Austria,2022,t,19290,A,Official figure,
040,Austria,2023,t,19440,A,Official figure,
040,Austria,2024,t,18910,A,Official figure,
112,Belarus,1995,t,1200,A,Official figure,
112,Belarus,1996,t,3700,X,Figure from external organization,Unofficial figure
112,Belarus,1997,t,4000,A,Official figure,
112,Belarus,1998,t,1200,A,Official figure,
112,Belarus,1999,t,1000,A,Official figure,
112,Belarus,2000,t,7000,A,Official figure,
112,Belarus,2001,t,6000,A,Official figure,
112,Belarus,2002,t,2000,A,Official figure,
112,Belarus,2003,t,16636,A,Official figure,
112,Belarus,2004,t,8444,A,Official figure,
112,Belarus,2005,t,13580,A,Official figure,
112,Belarus,2006,t,16444,A,Official figure,
112,Belarus,2007,t,26161,A,Official figure,
112,Belarus,2008,t,26961,A,Official figure,
112,Belarus,2009,t,15550,A,Official figure,
112,Belarus,2010,t,21156,A,Official figure,
112,Belarus,2011,t,50788,A,Official figure,
112,Belarus,2012,t,40028,A,Official figure,
112,Belarus,2013,t,15832,A,Official figure,
112,Belarus,2014,t,27096,A,Official figure,
112,Belarus,2015,t,23648,A,Official figure,
112,Belarus,2016,t,18932,A,Official figure,
112,Belarus,2017,t,21670,A,Official figure,
112,Belarus,2018,t,19761,A,Official figure,
112,Belarus,2019,t,20604,A,Official figure,
112,Belarus,2020,t,22177,A,Official figure,
112,Belarus,2021,t,23867.36,I,Value imputed by a receiving agency,
112,Belarus,2022,t,23668,I,Value imputed by a receiving agency,
112,Belarus,2023,t,22225.06,I,Value imputed by a receiving agency,
112,Belarus,2024,t,22124.94,I,Value imputed by a receiving agency,
056,Belgium,2018,t,15140,A,Official figure,
056,Belgium,2019,t,18130,A,Official figure,
056,Belgium,2020,t,20130,A,Official figure,
056,Belgium,2021,t,21500,A,Official figure,
056,Belgium,2022,t,3090,A,Official figure,
056,Belgium,2023,t,2650,A,Official figure,
056,Belgium,2024,t,3160,A,Official figure,
064,Bhutan,1988,t,1000,E,Estimated value,
064,Bhutan,1989,t,1000,E,Estimated value,
064,Bhutan,1990,t,1000,E,Estimated value,
064,Bhutan,1991,t,1000,E,Estimated value,
064,Bhutan,1992,t,1000,E,Estimated value,
064,Bhutan,1993,t,1000,E,Estimated value,
064,Bhutan,1994,t,1000,E,Estimated value,
064,Bhutan,1995,t,1000,E,Estimated value,
064,Bhutan,1996,t,1000,E,Estimated value,
