Country,Year,Cereal_Production_Value,GDP_per_capita_USD
Argentina,1961,16000.0,971.338043308372
Argentina,1962,14000.0,870.217490905403
Argentina,1963,15000.0,852.972425139433
Argentina,1964,17000.0,1176.20086190313
Argentina,1965,20000.0,1281.83337976859
Argentina,1966,16800.0,1275.07843418966
Argentina,1967,24400.0,1063.93283833587
Argentina,1968,19900.0,1141.95211617341
Argentina,1969,24900.0,1329.56181832409
Argentina,1970,26700.0,1322.71454216808
Argentina,1971,27500.0,1372.50746646061
Argentina,1972,25000.0,1409.37097316211
Argentina,1973,26000.0,2097.89945010806
Argentina,1974,28800.0,2844.96990526761
Argentina,1975,27800.0,2026.68435752865
Argentina,1976,31900.0,1946.91990388248
Argentina,1977,31700.0,2126.48546048047
Argentina,1978,30800.0,3282.06304446289
Argentina,1979,20200.0,2511.97332905958
Argentina,1980,16700.0,2747.5022751674
Argentina,1981,15600.0,2764.08641421079
Argentina,1982,10800.0,2914.76708504176
Argentina,1983,7900.0,3537.7473459832
Argentina,1984,7500.0,3915.03492645691
Argentina,1985,9000.0,2905.77565536137
Argentina,1986,10300.0,3436.07819471053
Argentina,1987,6500.0,3477.30131979313
Argentina,1988,8000.0,3992.70330179156
Argentina,1989,4500.0,2374.57321551641
Argentina,1990,10000.0,4315.33403111588
Argentina,1991,15000.0,5709.24784079504
Argentina,1992,35000.0,6789.99611136495
Argentina,1993,17000.0,6931.85596375876
Argentina,1994,17000.0,7437.56242327594
Argentina,1995,10000.0,7357.6162773788
Argentina,1996,10000.0,7663.21271287469
Argentina,1997,10000.0,8146.78710021431
Argentina,1998,10000.0,8218.99212764682
Argentina,1999,13000.0,7705.54288252851
Argentina,2000,13000.0,7637.01489203628
Argentina,2001,13000.0,7141.47507662826
Argentina,2002,15000.0,2569.69963519124
Argentina,2003,15000.0,3320.47775133903
Argentina,2004,15000.0,4242.02099089422
Argentina,2005,15000.0,5067.65342293276
Argentina,2006,15200.0,5869.38028970204
Argentina,2007,15500.0,7185.25155147027
Argentina,2008,15500.0,8944.1102657357
Argentina,2009,16000.0,8150.23527028221
